"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация","1","0","Неуспешный вход","0"
"0","","0","Авторизация","1","0","Успешный вход","0"
