"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Этот тест проверяет, что система показывает сообщение об ошибке при вводе неверного пароля.","622","Проверка ошибки при входе с неверным паролем","","2026-06-18","passed","2026-06-18","","test_login","",""
"Этот тест проверяет, что пользователь может войти в систему с правильным логином и паролем.","1940","Проверка успешной авторизации с валидными данными","","2026-06-18","passed","2026-06-18","","test_login","",""
